¬ Text file converted with loc_parser
{your_citizens_killed}						Eure getöteten Bürger:
{mission_spy_fail_and_killed_body_nomad}		Dieser Spion wurde gejagt und getötet, bevor er seine Aufgabe erfüllen konnte. 
{mission_spy_fail_body_hun}			Dieser Spion versagte bei seiner Aufgabe, doch zum Glück kam er mit dem Leben davon.
{mission_spy_fail_body_nomad}			Dieser Spion versagte bei seiner Aufgabe, doch zum Glück kam er mit dem Leben davon.
{mission_spy_settlement_body_hun}			Unser Mann hat sich hier häuslich eingerichtet, obwohl er im Herzen seinem Volk treu ist.
{mission_spy_settlement_body_nomad}		Unser Mann hat sich hier häuslich eingerichtet, obwohl er im Herzen seinem Volk treu ist.
{multiturn_path_blocked_body_hun}			Der Weg unseres Mannes wurde von feindlichen Truppen versperrt. Er kann nicht weiter und seine nächsten Schritte sind zu überdenken.
{multiturn_path_blocked_body_nomad}		Der Weg unseres Mannes wurde von feindlichen Truppen versperrt. Er kann nicht weiter und seine nächsten Schritte sind zu überdenken.
{naval_blockade_body_hun}				Diese Siedlung wurde blockiert. Die Händler klagen - wieder einmal - dass sie ihre Waren nicht transportieren und keine Gewinne machen können.
{naval_blockade_body_nomad}			Diese Siedlung wurde blockiert. Die Händler klagen - wieder einmal - dass sie ihre Waren nicht transportieren und keine Gewinne machen können.
{new_ancillary_character_body_hun}			Dieser Mann hat die Zahl seiner Anhänger vergrößert.
{new_ancillary_character_body_nomad}		Dieser Mann hat die Zahl seiner Anhänger vergrößert.
{new_bouncing_baby_body_hun}			Kinder sind ein Segen. Hoffen wir, dass sie aufblühen und unserem Volk Ehre bringen werden!
{new_bouncing_baby_body_nomad}			Kinder sind ein Segen. Hoffen wir, dass sie aufblühen und unserem Volk Ehre bringen werden!
{new_faction_heir_body_hun}			Euer Volk ist erfreut, dass sein Anführer einen neuen Erben hat, der den Ruhm in der Zukunft sichern wird! 
{new_faction_heir_body_nomad}			Euer Volk ist erfreut, dass sein Anführer einen neuen Erben hat, der den Ruhm in der Zukunft sichern wird!
{new_faction_leader_body_hun}			Unser Volk hat einen neuen obersten Anführer, einen Mann, dessen man in Liedern und Gesängen gedenken wird!
{new_faction_leader_body_nomad}			Unser Volk hat einen neuen obersten Anführer, einen Mann, dessen man in Liedern und Gesängen gedenken wird!
{peacy_treaty_signed_body_hun}			Ehrliche Worte wurden gesprochen, das Schwert wurde beiseite gelegt, der blutige Krieg zwischen diesen beiden Völkern ist beendet.
{peacy_treaty_signed_body_nomad}			Ehrliche Worte wurden gesprochen, das Schwert wurde beiseite gelegt, der blutige Krieg zwischen diesen beiden Völkern ist beendet.
{player_faction_advanced_body_hun}			Unsere Seite lässt alle in Angst erbeben! Wir sind das fortschrittlichste Volk, das in den Ländern zwischen Sonnenauf- und -untergang reitet!
{player_faction_advanced_body_nomad}		Unsere Seite lässt alle in Angst erbeben! Wir sind das fortschrittlichste Volk, das in den Ländern zwischen Sonnenauf- und -untergang reitet!
{player_faction_largest_body_hun}			Keine Seite hat so viel Land wie wir. Man kann von Sonnenauf- bis -untergang reiten und sieht doch nur einen kleinen Teil dessen, was uns gehört!
{player_faction_largest_body_nomad}			Keine Seite hat so viel Land wie wir. Man kann von Sonnenauf- bis -untergang reiten und sieht doch nur einen kleinen Teil dessen, was uns gehört!
{player_faction_richest_body_hun}			Unsere Seite besitzt mehr Gold als jede andere und wird von ärmeren beneidet! Wir lachen, wenn ihre Augen vor Neid funkeln!
{player_faction_richest_body_nomad}			Unsere Seite besitzt mehr Gold als jede andere und wird von ärmeren beneidet! Wir lachen, wenn ihre Augen vor Neid funkeln!
{player_faction_strongest_body_hun}			Unsere Armeen bringen das Land zum Beben, wenn sie marschieren! Ihr Staub verdunkelt die Sonne! Unsere Macht ist einzigartig auf der Welt!
{player_faction_strongest_body_nomad}		Unsere Armeen bringen das Land zum Beben, wenn sie marschieren! Ihr Staub verdunkelt die Sonne! Unsere Macht ist einzigartig auf der Welt!
{player_lose_warning_body_hun}			Die alten Götter verzweifeln an Euren Anstrengungen! Ein weiteres Volk trägt bald den Sieg davon!
{player_lose_warning_body_nomad}			Die alten Götter verzweifeln an Euren Anstrengungen! Ein weiteres Volk trägt bald den Sieg davon!
{players_army_destroyed_body_hun}			Die Letzten unserer Krieger leben nicht mehr, doch unsere Verbündeten kämpfen weiter! Noch könnten sie die Schlacht gewinnen!
{players_army_destroyed_body_nomad}		Die Letzten unserer Krieger leben nicht mehr, doch unsere Verbündeten kämpfen weiter! Noch könnten sie die Schlacht gewinnen!
{protectorate_established_body_hun}			Dieses schwache Volk hat die Freiheit abgelegt und lebt nur noch, weil andere es als Sklavenvolk dulden - als Diener in ihren eigenen Häusern!
{protectorate_established_body_nomad}		Dieses schwache Volk hat die Freiheit abgelegt und lebt nur noch, weil andere es als Sklavenvolk dulden - als Diener in ihren eigenen Häusern!
{races_held_body_hun}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{races_held_body_nomad}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{recruitment_complete_many_body_hun}		Unsere Stammesältesten haben die folgenden Krieger ausgebildet:
{recruitment_complete_many_body_nomad}		Unsere Stammesältesten haben die folgenden Krieger ausgebildet:
{reinforcements_arrived_body_hun}			Frische Krieger sind eingetroffen, sie können den Kampf gar nicht erwarten!
{reinforcements_arrived_body_nomad}		Frische Krieger sind eingetroffen, sie können den Kampf gar nicht erwarten!
{retraining_complete_body_hun}			Diese Einheit hat die Fortbildung abgeschlossen.
{retraining_complete_body_nomad}			Diese Einheit hat die Fortbildung abgeschlossen.
{senate_election_results_body_hun}			THIS MESSAGE SHOULD NEVER BE SEEN AND SHOULDN'T BE TRANSLATED
{senate_election_results_body_nomad}		THIS MESSAGE SHOULD NEVER BE SEEN AND SHOULDN'T BE TRANSLATED
{senate_message_body_hun}			Eine Nachricht von den alten Frauen des schwachen römischen Senats ist eingetroffen.
{senate_message_body_nomad}			Eine Nachricht von den alten Frauen des schwachen römischen Senats ist eingetroffen.
{senate_mission_failed_body_hun}			THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_nomad}			THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_hun}			THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_nomad}		THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_hun}			THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_nomad}		THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_gained_body_hun}			THIS SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_gained_body_nomad}			THIS SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_hun}			THIS SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_nomad}			THIS SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{settlement_besieged_body_hun}			Die Siedlung wird belagert. Ihre Verteidiger verstecken sich hinter den Mauern, anstatt sich dem Feind im Kampf entgegenzustellen.
{settlement_besieged_body_nomad}			Die Siedlung wird belagert. Ihre Verteidiger verstecken sich hinter den Mauern, anstatt sich dem Feind mit Schwertern in der Hand entgegenzustellen.
{settlement_bribed_body_hun}			Die Menschen dieser Siedlung haben sich an die fremden Schweine verkauft! Wenn sie vor Scham sterben, werden wir nicht um sie weinen!
{settlement_bribed_body_nomad}			Die Menschen dieser Siedlung haben sich an die fremden Schweine verkauft! Wenn sie vor Scham sterben, werden wir nicht um sie weinen!
{settlement_destroyed_body_hun}			Dieser Ort ist von der Bildfläche verschwunden. Die Kraft unserer Krieger versagte, der Himmel beweint unsere Schande!
{settlement_destroyed_body_nomad}			Dieser Ort ist von der Bildfläche verschwunden. Die Kraft unserer Krieger versagte, der Himmel beweint unsere Schande!
{settlement_enslaved_body_hun}			Unser Volk wurde in die Knechtschaft verkauft und leidet unter der Peitsche des Vorarbeiters! Dies ist kein Schicksal für ein freies Volk!
{settlement_enslaved_body_nomad}			Unser Volk wurde in die Knechtschaft verkauft und leidet unter der Peitsche des Vorarbeiters! Dies ist kein Schicksal für ein freies Volk!
{settlement_exterminated_body_hun}			Die Siedlung liegt in Trümmern, ihre Häuser brennen, das Volk ist tot, geschlachtet wie Vieh. 
{settlement_exterminated_body_nomad}		Die Siedlung liegt in Trümmern, ihre Häuser brennen, das Volk ist tot, geschlachtet wie Vieh. 
{settlement_occupied_body_hun}			Unseren Leuten wurde das Land geraubt! Ihre Leben, ihre Häuser, ihre Waren und ihre Habe - selbst ihre Kinder - gehören ihnen nicht mehr. Sie müssen sich in allem vor ihren neuen Herren verneigen!
{settlement_occupied_body_nomad}			Unseren Leuten wurde das Land geraubt! Ihre Leben, ihre Häuser, ihre Waren und ihre Habe - selbst ihre Kinder - gehören ihnen nicht mehr. Sie müssen sich in allem vor ihren neuen Herren verneigen!
{settlement_revolts_body_hun}			Die wertlosen Hirten und Narren dieses Ortes ziehen den Tod dem Leben vor! Warum sollten sie sonst gegen Eure Herrschaft revoltieren?
{settlement_revolts_body_nomad}			Die wertlosen Hirten und Narren dieses Ortes ziehen den Tod dem Leben vor! Warum sollten sie sonst gegen Eure Herrschaft revoltieren?
{settlement_surrender_body_hun}			Die einfachen Hirten dieser Siedlung haben sich ergeben und wenden so beschämend ihrem stolzen Kriegervermächtnis den Rücken zu!
{settlement_surrender_body_nomad}			Die Leute haben beschlossen, ihre Häuser aufzugeben, anstatt wie Krieger bei der Verteidigung der Ruinen zu sterben.
{settlement_surrenders_enemy_body_hun}		Wir werden zum Gedenken an diesen Tag eine Schädelpyramide errichten - denn heute gaben unsere Feinde den Mut auf und ergaben sich uns!
{settlement_surrenders_enemy_body_nomad}		Selbst die stärkste Verteidigung ist nutzlos, wenn die Männer hinter ihr schwach sind und sich ergeben. Doch diese Entscheidung war weise.
{settlement_surrenders_own_body_hun}		Nach dieser Aufgabe sollte dieser Ort im Erdboden versinken und das Gras sollte an seiner statt wachsen, damit selbst die Erinnerung an diese Schande verschwindet.
{settlement_surrenders_own_body_nomad}		Ein finsterer Tag! Wenn ein Krieger sein Schwert niederlegt, ist es eine Schande, doch wenn alle ihre Waffen ablegen und beschließen, als Diener der Invasoren zu leben ...
{settlement_taken_body_hun}			Ist Euren Reitern der Geschmack an feindlichem Blut vergangen, die Freude an den Schreien ihrer besiegten Feinde, der Mut der Steppe? Diese Siedlung gehört uns nicht mehr!
{settlement_taken_body_nomad}			Ist Euren Reitern der Geschmack an feindlichem Blut vergangen, die Freude an den Schreien ihrer besiegten Feinde, der Mut der Steppe? Diese Siedlung gehört uns nicht mehr!
{settlement_unrest_body_hun}			Die Hirten dieses Misthaufens weigern sich, ihren Herren zu gehorchen! Wenn sich das nicht ändert, wird man bald nicht nur von Rebellion sprechen!
{settlement_unrest_body_nomad}			Diese Schweine murmeln und verfluchen ihre Herren! Wenn hier nicht etwas geschieht, werden ihre Klingen und Bögen für sie argumentieren! 
{small_army_disbands_body_hun}			Unsere Feinde sind geflohen und haben sich wie Würmer und Hasen unter den heimischen Gräsern verkrochen! Sie wussten, dass sie unserer Macht nicht gewachsen sind!
{small_army_disbands_body_nomad}			Unsere jämmerlichen Feinde sind geflohen! Es sind Ziegen, keine Männer! Und wie Ziegen rühmen sie sich ihres Mutes - aus einem sicheren Versteck heraus!
{small_army_disbands_loser_body_hun}		Unsere Krieger in dieser Armee sind nun so wenige, dass sie um ihr Leben laufen müssen. Ihr Mut steht außer Frage, doch ihre Zahlenstärke löste sich auf wie der Nebel in der Morgensonne!
{small_army_disbands_loser_body_nomad}		Unsere Krieger in dieser Armee sind nun so wenige, dass sie um ihr Leben laufen müssen. Ihr Mut steht außer Frage, doch ihre Zahlenstärke löste sich auf wie der Nebel in der Morgensonne!
{suitor_available_for_daughter_body_hun}		Dieser Mann ist ein wahrer Sohn der Steppe und ein würdiger Gatte für eine Eurer Töchter. Soll er Euch wie ein Sohn werden und Eure Ehre verteidigen?
{suitor_available_for_daughter_body_nomad}		Dieser Mann ist ein wahrer Sohn der Steppe und ein würdiger Gatte für eine Eurer Töchter. Soll er Euch wie ein Sohn werden und Eure Ehre verteidigen?
{transgression_body_hun}				Ihr habt uns beleidigt, doch wir geben Euch die Gelegenheit, Euer Verhalten zu bessern, ehe wir Euren Kopf als Zielscheibe benutzen!
{transgression_body_nomad}			Euer Verhalten hat uns beleidigt, doch Ihr bekommt die Gelegenheit, Euch zu bewähren, ehe unsere Reiter Eure Leiche in den Staub trampeln!
{unit_completed_body_hun}				Eine neue Kriegerbande steht bereit für die Schlacht!
{unit_completed_body_nomad}			Eine neue Kriegerbande steht bereit für die Schlacht!
{unit_routs_in_battle_body_hun}			Diese Männer opferten ihre guten Namen auf dem Altar der Schande und verdienen es, als Strafe für ihre feige Flucht den Kopf zu verlieren!
{unit_routs_in_battle_body_nomad}			Keiner dieser Krieger sollte je wieder von seiner Männlichkeit prahlen! Sie kehrten dem Feind den Rücken zu und verdienen nur noch, die Peitsche zu spüren!
{upgrade_settlement_to_city_body_hun}		Die Bevölkerung dieser Kleinstadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Stadt verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_city_body_nomad}		Die Bevölkerung dieser Kleinstadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Stadt verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_huge_city_body_hun}		Die Bevölkerung dieser Großstadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Metropole verbessern könnt. Baut das zentrale Regierungsgebäude aus, damit die Bevölkerung wieder wachsen kann. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_huge_city_body_nomad}	Die Bevölkerung dieser Großstadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Metropole verbessern könnt. Baut das zentrale Regierungsgebäude aus, damit die Bevölkerung wieder wachsen kann. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_large_city_body_hun}		Die Bevölkerung dieser Stadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Großstadt verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_large_city_body_nomad}	Die Bevölkerung dieser Stadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Großstadt verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_large_town_body_hun}		Die Bevölkerung dieser Ortschaft hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Kleinstadt verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_large_town_body_nomad}	Die Bevölkerung dieser Ortschaft hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Kleinstadt verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_town_body_hun}		Die Bevölkerung dieses Dorfes hat nun eine Größe erreicht, aufgrund derer Ihr es zur Ortschaft verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{upgrade_settlement_to_town_body_nomad}		Die Bevölkerung dieses Dorfes hat nun eine Größe erreicht, aufgrund derer Ihr es zur Ortschaft verbessern könnt. Um dies zu tun, müsst Ihr das zentrale Regierungsgebäude ausbauen, damit andere Optionen verfügbar werden. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{war_declared_body_hun}				Schwenkt die Banner! Spannt die Bögen! Der Krieg ist hier und wir müssen dem Feind nicht länger Freundschaft oder Toleranz vorspielen! 
{war_declared_body_nomad}			Krieg ist der einzig wahr Zeitvertreib für tapfere Männer! Es ist nur recht, zu Beginn das Kriegshorn laut und deutlich für alle erklingen zu lassen!
{war_declared_non_player_body_hun}		Diese beiden Völker befinden sich im Krieg. Mögen die Götter ihre Bemühungen belächeln und ihnen beiden den Tod bringen!
{war_declared_non_player_body_nomad}		Diese beiden Völker befinden sich im Krieg. Möge der Tod ihr einziger Lohn sein und nur das Grab ihnen Frieden bringen!
{war_declared_on_ally_body_hun}			Der Krieg ist über unsere Verbündeten gekommen, sie haben ihn nicht gesucht und nicht verdient! Sollten wir tatenlos zusehen? Oder sollten wir davon profitieren, indem wir beim Angriff helfen?
{war_declared_on_ally_body_nomad}			Der Krieg ist über unsere Verbündeten gekommen, sie haben ihn nicht gesucht und nicht verdient! Sollten wir tatenlos zusehen? Oder sollten wir davon profitieren, indem wir beim Angriff helfen?
{wonder_captured_body_hun}			Unsere Krieger haben die Kontrolle über dieses wunderbare Weltwunder übernommen. Sicher hatten die Bauherren Hilfe von Riesen oder von den Göttern, um so etwas zu errichten!
{wonder_captured_body_nomad}			Unsere Krieger haben die Kontrolle über dieses wunderbare Weltwunder übernommen. Sicher hatten die Bauherren Hilfe von Riesen oder von den Göttern, um so etwas zu errichten!
{wonder_lost_body_hun}				Wir haben dieses Wunder nicht mehr länger unter Kontrolle. Unsere Krieger sollten sich schämen, einen solchen Tag zu erleben!
{wonder_lost_body_nomad}				Wir haben dieses Wunder nicht mehr länger unter Kontrolle. Unsere Krieger sollten sich schämen, einen solchen Tag zu erleben!
{year_end_report_body_hun}			Unsere Leute haben Folgendes getan:
{year_end_report_body_nomad}			Unsere Leute haben Folgendes getan:
{your_machine_needs_upgrading_ai_to_reinforce_body_hun}		Die Freunde des Feindes scheinen ihn verlassen zu haben! Seine Verstärkung ist noch nicht in der Schlacht! Das ist gut. Kein Krieger tötet gern alte Weiber!
{your_machine_needs_upgrading_ai_to_reinforce_body_nomad}		Die Freunde des Feindes scheinen ihn verlassen zu haben! Seine Verstärkung ist noch nicht in der Schlacht! Das ist gut. Kein Krieger tötet gern alte Weiber!
{your_machine_needs_upgrading_body_hun}		Es ist kein Anzeichen Eurer Verstärkungen zu sehen. Sie werden vielleicht nicht zur rechten Zeit erscheinen. Wie ein wahrer Krieger müsst Ihr Euch darauf einstellen, allein und dennoch unerschrocken zu kämpfen!
{your_machine_needs_upgrading_body_nomad}	Es ist kein Anzeichen Eurer Verstärkungen zu sehen. Sie werden vielleicht nicht zur rechten Zeit erscheinen. Wie ein wahrer Krieger müsst Ihr Euch darauf einstellen, allein und dennoch unerschrocken zu kämpfen!
		
¬New Messages		
{new_eastern_emperor_body_roman}			Ein neuer Augustus, oder Kaiser, hat den Thron des Oströmischen Reiches bestiegen. Möge er sich als starker und ehrenhafter Herrscher erweisen und die Herrschaft Roms über den Osten festigen! 
{new_eastern_emperor_body_barbarian}		Die so genannten 'Römer' des östlichen Reiches haben einen neuen Kaiser. Er nennt sich 'Augustus', als ob ihn der Titel würdig und furchterregend machen würde! Trotzdem bleibt er ein ziviliserter Schwächling!
{new_eastern_emperor_body_carthaginian}		Die 'Römer' des östlichen Reiches haben einen neuen Kaiser. Er nennt sich 'Augustus', als ob ihn der Titel allein würdig und furchterregend machen würde! Trotzdem bleibt er ein ziviliserter, vernachlässigbarer Schwächling!
{new_eastern_emperor_body_nomad}		Die 'Römer' des Ostens haben einen neuen Kaiser. Er nennt sich 'Augustus', als ob ihn der Titel allein würdig und furchterregend machen würde! Trotzdem bleibt er ein ziviliserter Schwächling, den unsere Armeen niedertrampeln werden!
{new_eastern_emperor_body_hun}			Die dekadenten 'römischen' Narren des Ostens haben einen neuen Kaiser gewählt, aber einen Mann 'Augustus' zu nennen macht ihn lange nicht respektwürdig. Ein solcher Mann sollte Rückgrat und Geist zeigen, doch beides ist bei diesem Volk nur dünn gesät!
{new_eastern_emperor_body_eastern}		Das Oströmische Reich hat einen neuen Kaiser, der den Titel 'Augustus' genießt, als mache ihn das Wort allein würdig. Vielleicht wird er ein würdiger Gegner sein ...
{new_western_emperor_body_roman}		Ein neuer Augustus, oder Kaiser, hat den Thron des Weströmischen Reiches bestiegen. Möge er sich als starker und ehrenhafter Herrscher erweisen und die Herrschaft Roms über die Welt festigen! 
{new_western_emperor_body_barbarian}		Die Römer des Westens haben einen neuen Kaiser. Er nennt sich 'Augustus', als ob der Titel ihn furchterregend machen würde! Aber er wird unter der Klinge sterben wie jeder andere!
{new_western_emperor_body_carthaginian}		Die Römer des Westens haben einen neuen Kaiser. Er nennt sich 'Augustus', als ob der Titel ihn furchterregend machen würde! Aber er wird unter der Klinge sterben wie jeder andere!
{new_western_emperor_body_nomad}		Die dekadenten Römer des Westens haben einen neuen Kaiser. Er nennt sich 'Augustus', als ob der Titel ihn furchterregend machen würde! Aber er wird unter der Klinge sterben wie jeder andere!
{new_western_emperor_body_hun}			Die weichgehirnigen Römer haben einen neuen Kaiser für ihr westliches Reich gewählt, aber einen Mann 'Augustus' zu nennen macht ihn lange nicht respektwürdig. Ein solcher Mann sollte Rückgrat und Geist zeigen, doch beides fehlt den Römern!
{new_western_emperor_body_eastern}		Im westlichen Reich stolziert ein neuer Mann umher und nennt sich 'Augustus'. Vielleicht wird er ein würdiger Rivale sein, vielleicht nur ein weiterer besiegter Feind auf unserem Weg zum Ruhm ...
{new_eastern_ceasar_body_roman}			Ein neuer Erbe - oder Cäsar - hat den Thron des östlichen Römischen Reichs bestiegen. Er wird sich mit Sicherheit als starker Herrscher erweisen und die römische Herrschaft über den Osten festigen!
{new_eastern_ceasar_body_barbarian}		Die Römer des Ostens haben einen neuen Thronerben gewählt. Er nennt sich Cäsar - nach einem Anführer, den die Römer selbst ermordeten! Vielleicht wird ihn ein ähnliches Schicksal ereilen ...
{new_eastern_ceasar_body_carthaginian}		Das Oströmische Reich hat einen neuen Thronerben, der sich 'Cäsar' nennt! Vermutlich erwartet er, dass alle aus Angst vor seinem mächtigen Titel tot umfallen!
{new_eastern_ceasar_body_nomad}			Das Oströmische Reich hat einen neuen Thronerben, der sich 'Cäsar' nennt! Vermutlich erwartet er, dass alle aus Angst vor seinem mächtigen Titel tot umfallen!
{new_eastern_ceasar_body_hun}			Das Oströmische Reich hat einen neuen Erben. Er nennt sich Cäsar und gibt sich somit den Namen eines ihrer Anführer aus alten Tagen! Doch welchen Titel er auch wählen mag, ein Pfeil wird in fällen wie jeden anderen Mann, und unsere siegreiche Horde wird ihn niedertrampeln!
{new_eastern_ceasar_body_eastern}			Es gibt einen neuen Erben des Oströmischen Reichs. Er gibt sich den Titel 'Cäsar', als würde sein berühmter Vorgänger Julius Cäsar ihm dadurch seine Zustimmung schenken. Vielleicht wird er wie Julius ein geeignetes Grab finden ...
{new_western_ceasar_body_roman}			Ein neuer Erbe - oder Cäsar - hat den Thron des westlichen Römischen Reichs bestiegen. Er wird sich mit Sicherheit als starker Herrscher erweisen und die römische Herrschaft über den Osten festigen!
{new_western_ceasar_body_barbarian}		Im Westen ihres Reichs haben die Römer einen neuen Thronerben. Er nennt sich Cäsar - nach einem Anführer, den die Römer selbst ermordeten! Vielleicht wird ihn ein ähnliches Schicksal ereilen ...
{new_western_ceasar_body_carthaginian}		Das Römische Reich hat im Westen einen neuen Thronerben, der sich 'Cäsar' nennt! Vermutlich erwartet er, dass alle aus Angst vor seinem mächtigen Titel tot umfallen!
{new_western_ceasar_body_nomad}			Das Römische Reich hat im Westen einen neuen Thronerben, der sich 'Cäsar' nennt! Vermutlich erwartet er, dass alle aus Angst vor seinem mächtigen, jahrhundertealten Titel tot umfallen!
{new_western_ceasar_body_hun}			Die römischen Schwächlinge haben einen neuen Thronerben. Aus irgendeinem Grund glaubt er, der Titel Cäsar lasse ihn furchterregend erscheinen! Vielleicht sollten wir ihn die Bedeutung dieses Wortes lehren!
{new_western_ceasar_body_eastern}			Es gibt einen neuen Erben des Weströmischen Reichs. Er nennt sich Cäsar, um seinen Berühmten Vorfahren Julius Cäsar zu imitieren. Vielleicht wird er wie Julius ein geeignetes Grab finden ...
{shadow_faction_appears_body_roman}		Diese Nation ist von Streitigkeiten und Aufständen geplagt worden, bis sie entzweite. Vielleicht können wir davon protestieren, dass sich dieses Volk selbst vernichtet!
{shadow_faction_appears_body_barbarian}		Dieses Volk lebt in Unruhe. Es ist nicht mehr vereint, sondern in zwei bewaffnete Lager gespalten, die sich gegenseitig an die Kehle wollen. Vielleicht kann ein gerissenes Volk daraus einen Gewinn ziehen ...
{shadow_faction_appears_body_carthaginian}		Diese Seite ist in zwei bewaffnete Lager gespalten worden, die beide die Vorherrschaft beanspruchen. In diesen unruhigen Zeiten könnte ein einigeres Volk vielleicht vom Unglück anderer profitieren ...
{shadow_faction_appears_body_nomad}		Dieses Volk lebt in Unruhe. Es ist in zwei bewaffnete Lager gespalten, die sich gegenseitig an die Kehle wollen. Vielleicht kann ein gerissenes Volk daraus einen Gewinn ziehen.
{shadow_faction_appears_body_hun}			Dieses Volk lebt in Unruhe. Es ist in zwei bewaffnete Lager gespalten, die sich gegenseitig an die Kehle wollen. Vielleicht kann ein gerissenes Volk daraus einen Gewinn ziehen.
{shadow_faction_appears_body_eastern}		Dieses Volk leidet. Aufstände spalten es, so dass es keine vereinte Nation mehr sind, sondern seine Leute sich gegenseitig an die Kehle wollen. Ein einigeres Volk könnte vielleicht von dem Chaos dieses Bürgerkriegs profitieren.
{eastern_shadow_faction_body_roman}		Das östliche Reich wird von Aufständen derart geplagt, dass die Rebellen sich als wahre Erben des römischen Ruhmes auftun! Natürlich ist das Unsinn, doch die Rebellen wollen das bestehende östliche Reich vernichten und ersetzen!
