¬ Text file converted with loc_parser							
{your_citizens_killed}					Cittadini uccisi:		
{disaster_mutiny_body_hun}			I tuoi marinai si sono ribellati ai loro capi. Si sono ammutinati e non seguiranno più i tuoi ordini!	
{disaster_mutiny_body_nomad}			I tuoi marinai si sono ribellati ai loro capi. Si sono ammutinati e non faranno più quel che viene detto loro!	
{disaster_pirates_body_hun}			I nostri mercanti piagnucolano di essere vittime dei pirati! Probabilmente si aspettano che li difendiamo con la spada.	
{disaster_pirates_body_nomad}			I nostri mercanti piagnucolano di essere vittime dei pirati! Probabilmente si aspettano che li difendiamo con la spada.	
{disaster_plague_body_hun}				Il popolo terrorizzato attende la fine! Il morbo ha condotto molti alla morte!
{disaster_plague_body_nomad}			Il popolo terrorizzato attende la fine! Il morbo è giunto per condurre molti alla morte!	
{disaster_riot_body_hun}				In questo luogo è scoppiato un tumulto. Il popolo a preso le armi contro il proprio signore!
{disaster_riot_body_nomad}				In questo luogo è scoppiato un tumulto. Il popolo a preso le armi contro il proprio signore!
{disaster_storm_body_hun}				Gli antichi dei del cielo e della tempesta stanno ululando la loro rabbia contro di noi. Le nostre terre sono investite da terribili uragani!
{disaster_storm_body_nomad}			Gli antichi dei del cielo e della tempesta stanno ululando la loro rabbia contro di noi. Le nostre terre sono investite da terribili uragani!	
{disaster_volcano_body_hun}			La terra stessa vomita fuoco, gli antichi dei devono essere irati con noi per permettere tutto ciò!	
{disaster_volcano_body_nomad}			La terra stessa vomita fuoco, gli antichi dei devono essere irati con noi per permettere tutto ciò!	
{exterminate_populace_body_hun}			Abbiamo eretto una piramide di teschi, e ora questa gente conosce il prezzo del dissenso!	
{exterminate_populace_body_nomad}			Abbiamo passato questa gente a fil di spada, ora conoscono il prezzo del dissenso!	
{faction_advanced_body_hun}			Questo popolo sarà pure il più progredito del mondo, ma i grandi edifici e le torri di pietra non ne fanno un avversario più degno!	
{faction_advanced_body_nomad}			Questo popolo sarà pure il più progredito del mondo, ma i grandi edifici e le torri di pietra non ne fanno un avversario più degno!	
{faction_defeated_body_hun}			I nostri rivali giacciono nella polvere. Dobbiamo rinforzare le armate e difendere le nostre terre se non vogliamo subire il medesimo destino!	
{faction_defeated_body_nomad}			I nostri rivali giacciono nella polvere. Dobbiamo rinforzare le armate e difendere le nostre terre se non vogliamo subire il medesimo destino!	
{faction_defeated_by_player_body_nomad} 		Questa spregevole gente è andata a incontrare i suoi schifosi e vili antenati. Beviamo nei loro teschi, festeggiamo la loro disfatta!
{faction_defeated_by_player_hun} 			Questa spregevole gente è andata a incontrare i suoi schifosi e vili antenati. I morti sono morti, noi siamo vivi e brindiamo alla vittoria!	
{faction_largest_body_hun}				Ora questa gente supera in numero i suoi rivali. Ma forse è solo una pingue preda per i nostri guerrieri...
{faction_largest_body_nomad}			Ora questa gente supera in numero i suoi rivali. Ma forse è solo una pingue preda per i nostri guerrieri...	
{faction_leader_dies_body_hun}			Il nostro signore è morto, è andato in cielo a unirsi ai gloriosi antenati. La sua spada ora adorna la tomba di un eroe!
{faction_leader_dies_body_nomad}			Il nostro signore è morto, è andato in cielo a unirsi ai gloriosi antenati. La sua spada ora adorna la tomba di un eroe!
{faction_leader_imperator_body_hun}			Il nostro signore è stato proclamato imperatore del mondo romano! Non è strano che il fato abbia voluto tutto ciò?	
{faction_leader_imperator_body_nomad}		Il nostro signore è stato proclamato imperatore del mondo romano! Non è strano che il fato abbia voluto tutto ciò?		
{faction_leader_killed_body_hun}			Il nostro grande signore è stato ammazzato! Qualcuno deve pagare per questo sanguinoso oltraggio! L'onore reclama vendetta!	
{faction_leader_killed_body_nomad}			Il nostro grande signore è stato ammazzato! Qualcuno deve pagare per questo sanguinoso oltraggio! L'onore reclama vendetta!	
{faction_richest_body_hun}				Questa gente è carica d'oro e grandi ricchezze. Forse dovremmo aiutarli e alleggerire il loro fardello...
{faction_richest_body_nomad}			Questo è un popolo forte. Dovremmo trattarlo con rispetto, almeno finché continua a scontrarsi con altri nemici...
{faction_strongest_body_hun}			Questo è un popolo forte. Dovremmo trattarlo con rispetto, almeno finché continuano a scontrarsi con altri nemici...	
{faction_strongest_body_nomad}			Questo è un popolo forte. Dovremmo trattarlo con rispetto, almeno finché continua a scontrarsi con altri nemici...	
{family_report_body_hun}				Gli uomini sotto la tua guida, tutti validi guerrieri, sono i seguenti:
{family_report_body_nomad}			Gli uomini sotto la tua guida, tutti validi guerrieri, sono i seguenti:	
{female_dies_body_hun}				Questa donna è passata a miglior vita, e ora potrà dunque occuparsi degli eroi morti per l'eternità.
{female_dies_body_nomad}				Questa donna è passata a miglior vita, e ora potrà dunque occuparsi degli eroi morti per l'eternità.
{fort_bribed_body_hun}				Questo forte è stato ceduto per denaro dai guerrieri che dovevano invece difenderlo! Sono pecore pronte per la mannaia del macellaio! Possano i loro nomi essere maledetti per sempre! 
{fort_bribed_body_nomad}				Questo forte è stato ceduto per denaro dai guerrieri che dovevano invece difenderlo! Sono pecore pronte per la mannaia del macellaio! Possano i loro nomi essere maledetti per sempre! 
{games_held_body_hun}				THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{games_held_body_nomad}				THIS GAMES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{general_appointed_body_hun}			È stato scelto un nuovo signore degli Unni. Possa egli recare onore alla sua gente con le sue gesta!	
{general_appointed_body_nomad}			È stato scelto un nuovo signore della steppa. Possa egli recare vittoria e onore con le sue gesta!	
{general_dies_body_hun}				Questo signore è stato ammazzato, ma non prima di aver portato con sé molti dei nostri nemici!
{general_dies_body_nomad}			Questo signore è stato ammazzato, ma non prima di aver portato con sé molti dei nostri nemici!	
{general_killed_ally_body_hun}			Rari sono i veri alleati, e la morte di uno di loro muove al pianto anche il guerriero dal cuore più duro.	
{general_killed_ally_body_nomad}			Rari sono i veri alleati, e la morte di uno di loro muove al pianto anche il guerriero dal cuore più duro.	
{general_killed_enemy_body_hun}			La morte di un nemico è un evento da celebrare, a maggior ragione nel caso di un pericoloso capo nemico!	
{general_killed_enemy_body_nomad}			La morte di un nemico è un evento da celebrare, a maggior ragione nel caso di un pericoloso capo nemico!	
{general_promoted_body_hun}			Quest'uomo delle steppe si è dimostrato un valoroso guerriero e un saggio capo. Merita onori ancora maggiori!	
{general_promoted_body_nomad}			Quest'uomo si è dimostrato un valoroso guerriero e un abile comandante. Merita di mettere ancora alla prova il suo talento!	
{hidden_agent_detected_in_settlement_body_hun}	Tra il nostro popolo si annidava un agente nemico, ma è stato giustiziato. È triste che un tale individuo sia stato ospitato dalla nostra gente.			
{hidden_agent_detected_in_settlement_body_nomad}	Tra il nostro popolo si annidava un agente nemico, ma è stato giustiziato. È triste che un tale individuo sia stato ospitato dalla nostra gente.			
{historic_event_body_hun}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{historic_event_body_nomad}			THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{marian_reform_body_hun}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_nomad}			THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{marriage_body_hun}				Un importante matrimonio può solo rafforzare il nostro popolo e recare con sé la benedizione dei figli!
{marriage_body_nomad}				Un importante matrimonio può solo rafforzare il nostro popolo e recare con sé la benedizione dei figli!
{mission_assassinate_body_hun}			Quest'uomo è stato assassinato. Un pugnale nel buio non sarà degno di un guerriero, ma ha lo stesso effetto di una freccia nel cuore durante la battaglia!	
{mission_assassinate_body_nomad}			Quest'uomo è stato assassinato. Un pugnale nel buio non sarà degno di un guerriero, ma ha lo stesso effetto di una spada immersa nel petto durante la battaglia!	
{mission_assassinate_fail_and_killed_body_hun}	Il nostro assassino è stato sgozzato prima che potesse fare ciò che gli era stato ordinato.			
{mission_assassinate_fail_and_killed_body_nomad}	Il nostro assassino è stato sgozzato prima che potesse fare ciò che gli era stato ordinato.			
{mission_assassinate_fail_body_hun}			Il nostro assassino non ha ucciso la sua vittima, ma almeno ha fatto fuori le sue guardie.	
{mission_assassinate_fail_body_nomad}		Il nostro assassino non ha ucciso la sua vittima, ma almeno ha fatto fuori le sue guardie.		
{mission_sabotage_body_hun}			Il nostro uomo ha danneggiato la struttura, impedendo l'attività dei nostri rivali.	
{mission_sabotage_body_nomad}			Il nostro uomo ha danneggiato la struttura, impedendo l'attività dei nostri rivali.	
{mission_sabotage_fail_and_killed_body_hun}		Il nostro agente ha avuto il buon gusto di morire e fare in modo che il suo sangue lavasse via l'onta del fallimento.
{mission_sabotage_fail_and_killed_body_nomad}	Il nostro agente ha avuto il buon gusto di morire e fare in modo che il suo sangue lavasse via l'onta del fallimento.
{mission_sabotage_fail_body_hun}			Il nostro uomo non è riuscito a danneggiare strutture nemiche, ma almeno ha evitato di finire ucciso!	
{mission_sabotage_fail_body_nomad}			Il nostro uomo non è riuscito a danneggiare strutture nemiche, ma almeno ha evitato di finire ucciso!	
{mission_spy_character_body_hun}			La nostra spia è riuscita nel suo intento e ha scoperto i segreti di quest'uomo.	
{mission_spy_character_body_nomad}		La nostra spia è riuscita nel suo intento e ha scoperto i segreti di quest'uomo.		
{mission_spy_fail_and_killed_body_hun}		Questa spia è stata scoperta e ammazzata prima che portasse a termine la sua missione. 		
{mission_spy_fail_and_killed_body_nomad}		Questa spia è stata scoperta e ammazzata prima che portasse a termine la sua missione. 		
{mission_spy_fail_body_hun}			Questa spia non è riuscita nel suo intento, ma è stata abbastanza fortunata da sfuggire alla morte.	
{mission_spy_fail_body_nomad}			Questa spia non è riuscita nel suo intento, ma è stata abbastanza fortunata da sfuggire alla morte.	
{mission_spy_settlement_body_hun}			Il nostro uomo si è stabilito tra gli stranieri, anche se il suo cuore batte ancora per la nostra gente.	
{mission_spy_settlement_body_nomad}		Il nostro uomo si è stabilito tra gli stranieri, anche se il suo cuore batte ancora per la nostra gente.		
{multiturn_path_blocked_body_hun}			Il percorso del nostro uomo è ostacolato dalle forze altrui. Non può muoversi oltre e bisogna indicargli un altro tragitto.	
{multiturn_path_blocked_body_nomad}		Il percorso del nostro uomo è ostacolato dalle forze altrui. Non può muoversi oltre e bisogna indicargli un altro tragitto.		
{naval_blockade_body_hun}				Questo insediamento è sottoposto a un blocco navale. I mercanti si lamentano - lo fanno sempre - di non poter combinare i loro affari.
{naval_blockade_body_nomad}			Questo insediamento è sottoposto a un blocco navale. I mercanti si lamentano - lo fanno sempre - di non poter a combinare i loro affari.	
{new_ancillary_character_body_hun}			Quest'uomo ha aggiunto un membro al seguito del suo focolare.	
{new_ancillary_character_body_nomad}		Quest'uomo ha aggiunto un membro al seguito del suo focolare.	
{new_bouncing_baby_body_hun}			I figli sono una benedizione. Speriamo che crescano valorosi e onorino la nostra gente!
{new_bouncing_baby_body_nomad}			I figli sono una benedizione. Speriamo che crescano valorosi e onorino la nostra gente!
{new_faction_heir_body_hun}			Il popolo si rallegra che il nostro signore abbia un nuovo erede che prosegua la sua gloria negli anni a venire! 
{new_faction_heir_body_nomad}			Il popolo si rallegra che il nostro signore abbia un nuovo erede, qualcuno che lo condurrà a maggiori glorie negli anni a venire!
{new_faction_leader_body_hun}			Il popolo ha un nuovo capo supremo, un uomo che sarà celebrato con poemi e canti negli anni a venire!
{new_faction_leader_body_nomad}			Il popolo ha un nuovo capo supremo, un uomo che sarà celebrato con poemi e canti negli anni a venire!
{peacy_treaty_signed_body_hun}			Le oneste parole pronunciate hanno fatto rinfoderare le spade e cessare una guerra sanguinaria tra questi due popoli.
{peacy_treaty_signed_body_nomad}			Le oneste parole pronunciate hanno fatto rinfoderare le spade e cessare una guerra sanguinaria tra questi due popoli.
{player_faction_advanced_body_hun}			La nostra fazione terrorizza il mondo! Siamo il popolo più progredito tra gli abitanti delle terre che si stendono dall'alba al tramonto!
{player_faction_advanced_body_nomad}		La nostra fazione terrorizza il mondo! Siamo il popolo più progredito tra gli abitanti delle terre che si stendono dall'alba al tramonto!	
{player_faction_largest_body_hun}			Nessuna fazione possiede più terre della nostra. Un uomo può cavalcare dall'alba al tramonto e non vedere che una piccola parte dei nostri possedimenti!
{player_faction_largest_body_nomad}			Nessuna fazione possiede più terre della nostra. Un uomo può cavalcare dall'alba al tramonto e non vedere che una piccola parte dei nostri possedimenti!
{player_faction_richest_body_hun}			La nostra fazione possiede più oro di qualunque altra e suscita l'invidia delle genti più povere! Ridiamo di fronte ai loro occhi luccicanti d'invidia!
{player_faction_richest_body_nomad}			La nostra fazione possiede più oro di qualunque altra ed suscita l'invidia delle genti più povere! Ridiamo di fronte ai loro occhi luccicanti d'invidia!
{player_faction_strongest_body_hun}			Le nostre armate fanno tremare la terra al solo passaggio! La polvere che sollevano oscura il cielo! Il nostro potere non ha eguali nel mondo!
{player_faction_strongest_body_nomad}		Le nostre armate fanno tremare la terra al solo passaggio! La polvere che sollevano oscura il cielo! Il nostro potere non ha eguali nel mondo!		
{player_lose_warning_body_hun}			Gli antichi dei non assecondano i tuoi sforzi! Un altro popolo sta per vantarsi della vittoria!	
{player_lose_warning_body_nomad}			Gli antichi dei non assecondano i tuoi sforzi! Un altro popolo sta per vantarsi della vittoria!	
{players_army_destroyed_body_hun}			L'ultimo dei nostri guerrieri è morto, ma gli alleati continuano a combattere! Forse essi vinceranno questa battaglia!
{players_army_destroyed_body_nomad}		L'ultimo dei nostri guerrieri è morto, ma gli alleati continuano a combattere! Forse essi vinceranno questa battaglia!
{protectorate_established_body_hun}			Questo debole popolo ha gettato la libertà e ora vive le sofferenze della schiavitù: è diventato schiavo in casa propria!	
{protectorate_established_body_nomad}		Questo debole popolo ha gettato la libertà e ora vive le sofferenze della schiavitù: è diventato schiavo in casa propria!		
{races_held_body_hun}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{races_held_body_nomad}				THIS RACES HELD TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{recruitment_complete_many_body_hun}		Gli anziani della tribù hanno addestrato questi guerrieri:		
{recruitment_complete_many_body_nomad}		Gli anziani della tribù hanno addestrato questi guerrieri:		
{reinforcements_arrived_body_hun}			Sono giunti nuovi guerrieri, impazienti di combattere!	
{reinforcements_arrived_body_nomad}		Sono giunti nuovi guerrieri, impazienti di combattere!		
{retraining_complete_body_hun}			Il riaddestramento di quest'unità è terminato.	
{retraining_complete_body_nomad}			Il riaddestramento di quest'unità è terminato.	
{senate_election_results_body_hun}			THIS MESSAGE SHOULD NEVER BE SEEN AND SHOULDN'T BE TRANSLATED	
{senate_election_results_body_nomad}		THIS MESSAGE SHOULD NEVER BE SEEN AND SHOULDN'T BE TRANSLATED	
{senate_message_body_hun}			È giunto un messaggio da quel covo di donnicciole che è il Senato romano.
{senate_message_body_nomad}			È giunto un messaggio da quel covo di donnicciole che è il Senato romano.
{senate_mission_failed_body_hun}			THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_failed_body_nomad}			THIS SENATE MISSION FAILED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_hun}			THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_issued_body_nomad}		THIS SENATE MISSION ISSUED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{senate_mission_success_body_hun}			THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_mission_success_body_nomad}		THIS SENATE MISSION SUCCESS TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!	
{senate_office_gained_body_hun}			THIS SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_gained_body_nomad}			THIS SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_hun}			THIS SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_nomad}			THIS SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{settlement_besieged_body_hun}			L'insediamento è sotto assedio. I suoi difensori si rannicchiano dietro le mura piuttosto che affrontare il nemico in campo aperto.
{settlement_besieged_body_nomad}			L'insediamento è sotto assedio. I suoi difensori si rannicchiano dietro le mura piuttosto che affrontare con le armi in pugno il nemico.
{settlement_bribed_body_hun}			La popolazione di quest'insediamento si è venduta al porco straniero! Se moriranno tutti di vergogna, certo non ci dispiacerà!
{settlement_bribed_body_nomad}			La popolazione di quest'insediamento si è venduta al porco straniero! Se moriranno tutti di vergogna, certo non ci dispiacerà!
{settlement_destroyed_body_hun}			Questo insediamento è stato spazzato via dalla faccia della terra. I nostri guerrieri non hanno potuto nulla, e i cieli piangono la nostra disgrazia!
{settlement_destroyed_body_nomad}			Questo insediamento è stato spazzato via dalla faccia della terra. I nostri guerrieri non hanno potuto nulla, e i cieli piangono la nostra disgrazia!
{settlement_enslaved_body_hun}			La nostra gente è stata ridotta in schiavitù e soffre sotto la frusta di un padrone straniero! Questo non è un destino degno di uomini nati liberi!		
{settlement_enslaved_body_nomad}			La nostra gente è stata ridotta in schiavitù e soffre sotto la frusta di un padrone straniero! Questo non è un destino degno di uomini nati liberi!		
{settlement_exterminated_body_hun}			L'insediamento è in fiamme, le sue case bruciano, la popolazione è stata sterminata, sgozzata come bestiame dal crudele conquistatore! 		
{settlement_exterminated_body_nomad}		L'insediamento è in fiamme, le sue case bruciano, la popolazione è stata sterminata, sgozzata come bestiame dal crudele conquistatore! 			
{settlement_occupied_body_hun}			La terra è stata strappata al nostro popolo! Hanno perduto le loro vite, dimore, beni e ricchezze... anche i figli. Devono inchinarsi in tutto e per tutto a un nuovo padrone!		
{settlement_occupied_body_nomad}			La terra è stata strappata al nostro popolo! Hanno perduto le loro vite, dimore, beni e ricchezze... anche i figli. Devono inchinarsi in tutto e per tutto a un nuovo padrone!		
{settlement_revolts_body_hun}			Gli insignificanti pecorai e i pazzi che abitano qui hanno deciso che la morte è meglio della vita! Perché altrimenti dovrebbero rivoltarsi?		
{settlement_revolts_body_nomad}			Gli insignificanti pecorai e i pazzi che abitano qui hanno deciso che la morte è meglio della vita! Perché altrimenti dovrebbero rivoltarsi?		
{settlement_surrender_body_hun}			Gli ignobili pecorai di quest'insediamento si sono arresi, venendo meno alla preziosa eredità guerriera del loro popolo!		
{settlement_surrender_body_nomad}			La popolazione ha deciso di cedere le proprie dimore piuttosto che morire come guerrieri difendendone le rovine.		
{settlement_surrenders_enemy_body_hun}		Dovremmo erigere una piramide di teschi per fissare questo giorno nella memoria. Oggi il nemico ha perduto il coraggio e si è arreso alla nostra potenza!			
{settlement_surrenders_enemy_body_nomad}		Anche le difese più solide sono inutili se gli uomini dietro ad esse sono deboli e scelgono di arrendersi. Una scelta saggia, tuttavia...			
{settlement_surrenders_own_body_hun}		Dopo quest'ignobile resa la terra dovrebbe inghiottire questo luogo e l'erba crescere al posto delle case, così da cancellare la memoria della vergogna.			
{settlement_surrenders_own_body_nomad}		Un giorno funesto! Quando un guerriero abbandona la spada è motivo di vergogna, ma quando tutti lo fanno e si consegnano schiavi all'invasore...			
{settlement_taken_body_hun}			I tuoi cavalieri hanno forse perso il loro coraggio e il gusto per il sangue nemico, per il pianto degli sconfitti? Quest'insediamento non è più nostro!		
{settlement_taken_body_nomad}			I tuoi cavalieri hanno forse perso il loro coraggio e il gusto per il sangue nemico, per il pianto degli sconfitti? Quest'insediamento non è più nostro!		
{settlement_unrest_body_hun}			I pecorai di questo letamaio si rifiutano di obbedire come dovrebbero ai loro padroni! Se non si pone un limite a ciò, passeranno dalle parole ai fatti!		
{settlement_unrest_body_nomad}			Quei porci mugugnano e insultano chi li comanda! Se non si fa qualcosa, cominceranno a mugugnare con le armi in pugno! 		
{small_army_disbands_body_hun}			I nostri nemici, fuggiti, si sono rintanati come vermi nella terra o conigli nell'erba alta! Sapevano che il loro numero non poteva competere con la nostra potenza!		
{small_army_disbands_body_nomad}			I nostri patetici avversari sono fuggiti! Sono pecore, non uomini! E, come pecore, non fanno che belare di essere coraggiosi, ma da un rifugio nascosto!		
{small_army_disbands_loser_body_hun}		I guerrieri nell'armata ora sono così pochi che devono fuggire per mettersi in salvo. Non è una questione di coraggio, ma il loro numero si è dissolto come nebbia al sole del mattino!			
{small_army_disbands_loser_body_nomad}		I guerrieri nell'armata ora sono così pochi che devono fuggire per mettersi in salvo. Non è una questione di coraggio, ma il loro numero si è dissolto come nebbia al sole del mattino!			
{suitor_available_for_daughter_body_hun}		Quest'uomo è un degno figlio della steppa, un buon pretendente per una delle tue figlie. Vuoi che anch'egli diventi tuo figlio, pronto a difendere il tuo onore?			
{suitor_available_for_daughter_body_nomad}		Quest'uomo è un degno figlio della steppa, un buon pretendente per una delle tue figlie. Vuoi che anch'egli diventi tuo figlio, pronto a difendere il tuo onore?			
{transgression_body_hun}				Ci avete offeso, ma vi diamo la possibilità di rimediare alle vostre mancanze, prima di usare le vostre teste per il tiro al bersaglio!	
{transgression_body_nomad}			Il vostro comportamento ci ha offeso, ma vi diamo la possibilità di rimediare, prima che i nostri cavalieri vi calpestino.		
{unit_completed_body_hun}				Un nuovo gruppo di guerrieri è pronto per la battaglia!	
{unit_completed_body_nomad}			Un nuovo gruppo di guerrieri è pronto per la battaglia!		
{unit_routs_in_battle_body_hun}			Questi uomini hanno sacrificato il proprio onore sull'altare della vergogna e meritano di avere la testa mozzata per essere fuggiti da codardi quali sono!		
{unit_routs_in_battle_body_nomad}			Nessuno di questi guerrieri potrà mai affermare di essere un uomo! Hanno mostrato la schiena al nemico e sono fuggiti, ora meritano solo le carezze della frusta!		
{upgrade_settlement_to_city_body_hun}		Questa cittadina ha raggiunto una popolazione sufficiente per permetterti di farla evolvere in una città. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{upgrade_settlement_to_city_body_nomad}		Questa cittadina ha raggiunto una popolazione sufficiente per permetterti di farla evolvere in una città. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{upgrade_settlement_to_huge_city_body_hun}		Questa grande città ha raggiunto una popolazione sufficiente per permetterti di farla evolvere in una metropoli. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{upgrade_settlement_to_huge_city_body_nomad}	Questa grande città ha raggiunto una popolazione sufficiente per permetterti di farla evolvere in una metropoli. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.				
{upgrade_settlement_to_large_city_body_hun}		Questa città ha raggiunto una popolazione sufficiente per permetterti di farla evolvere in una grande città. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{upgrade_settlement_to_large_city_body_nomad}	Questa città ha raggiunto una popolazione sufficiente per permetterti di farla evolvere in una grande città. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.				
{upgrade_settlement_to_large_town_body_hun}		Questo borgo ha raggiunto una popolazione sufficiente per permetterti di farlo evolvere in una cittadina. Per fare ciò devi ampliare la dimora del suo signore; ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{upgrade_settlement_to_large_town_body_nomad}	Questo borgo ha raggiunto una popolazione sufficiente per permetterti di farlo evolvere in una cittadina. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.				
{upgrade_settlement_to_town_body_hun}		Questo villaggio ha raggiunto una popolazione sufficiente per permetterti di farlo evolvere in un borgo. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{upgrade_settlement_to_town_body_nomad}		Questo villaggio ha raggiunto una popolazione sufficiente per permetterti di farlo evolvere in un borgo. A tale scopo, devi ampliare la dimora del suo signore. Ciò ti consentirà di costruire nuove strutture. Puoi decidere di posticipare questa costruzione, ma se la popolazione dovesse crescere ancora, l'eccessivo affollamento porterà a un aumento del livello di povertà e a un rallentamento dello sviluppo.			
{war_declared_body_hun}				Che le insegne sventolino al cielo! Che gli archi siano incoccati! È la guerra, non mostriamo più amicizia o pazienza con il nemico! 	
{war_declared_body_nomad}			La guerra è l'unica soluzione per un vero uomo! Ed è giusto cominciarla con il cupo suono del corno, alto nel cielo: che tutti lo odano!		
{war_declared_non_player_body_hun}		Questi due popoli ora sono in guerra. Possano gli dei ridere dei loro sforzi e condurre entrambi alla morte!			
{war_declared_non_player_body_nomad}		Questi due popoli ora sono in guerra. Possa la morte essere la loro unica ricompensa e la tomba la loro unica pace!			
{war_declared_on_ally_body_hun}			La guerra si è abbattuta sui nostri alleati, non voluta né meritata! Dovremmo rimanere impassibili? O dovremmo approfittare di ciò per andare all'attacco?		
{war_declared_on_ally_body_nomad}			La guerra si è abbattuta sui nostri alleati, non voluta né meritata! Dovremmo rimanere impassibili? O dovremmo approfittare di ciò per andare all'attacco?		
{wonder_captured_body_hun}			I nostri guerrieri hanno conquistato questa Meraviglia del mondo! Di certo chi la edificò venne aiutato dagli dei o dai giganti, per riuscire in una tale impresa!		
{wonder_captured_body_nomad}			I nostri guerrieri hanno conquistato questa Meraviglia del mondo! Di certo chi la edificò venne aiutato dagli dei o dai giganti, per riuscire in una tale impresa!		
{wonder_lost_body_hun}				Non controlliamo più questa Meraviglia. I nostri guerrieri dovrebbero vergognarsi di ciò che è accaduto oggi!	
{wonder_lost_body_nomad}				Non controlliamo più questa Meraviglia. I nostri guerrieri dovrebbero vergognarsi di ciò che è accaduto oggi!	
{year_end_report_body_hun}			La nostra gente ha fatto tutto ciò:		
{year_end_report_body_nomad}			La nostra gente ha fatto tutto ciò:		
