¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Дом Юлиев
{EMT_VICTORY_DESCR_BRITONS}			Победа за вами! Римскому миру пришел конец, наши воины правят землями, простирающимися от заката до рассвета. По всему миру друиды возносят хвалу древним богам! Это момент, который мы будем смаковать, момент, когда пришла пора поднять бокал за победу и осушить его до дна!
{EMT_VICTORY_DESCR_CARTHAGE}			Мир принадлежит вам, победа за вами! Ничто больше не угрожает величию, которого Карфаген достиг под вашим чутким и решительным руководством! Это праздничный день, день, когда мы поразмыслим, каким станет мир в руках у своих новых карфагенских властителей!
{EMT_VICTORY_DESCR_EGYPT}			Победа за вами! Все ваши враги превратились в тени, развеяны в прах ветрами пустынь. Много веков спустя фараоны будут принимать ваше имя в подтверждение ваших заслуг перед Египтом. Это вы помогли ему достичь величия!
{EMT_VICTORY_DESCR_GAULS}			Галльская храбрость - и ваше храброе руководство - завоевали победу! Отпразднуйте победу и взгляните с гордостью на галльскую империю - настоящее чудо света. Другим народам остается лишь скорбеть и трепетать перед вашей мощью!!
{EMT_VICTORY_DESCR_GERMANS}			Вы вывели храбрых германцев из темных лесов на залитые солнцем поля побед! Мир принадлежит вам, и все низшие народы в страхе склоняются перед вашей армией. Это великая победа - для варварского народа! 
{EMT_VICTORY_DESCR_GREEK_CITIES}		Мы донесли цивилизацию до всего мира! Греки мудро и справедливо правят обширными землями, и это победа! И еще лучше, эта победа одержана под вашим чутким и мудрым руководством! Поистине олимпийские боги наделили вас удивительным даром командования!
{EMT_VICTORY_DESCR_PARTHIA}			Парфия теперь империя, а не какое-то презираемое соседями царство. Ваше военное искусство принесло блестящие победы парфянской армии, парфянское знамя развевается над стенами многих городов и деревень. Отныне мир -- игрушка в руках парфян!
{EMT_VICTORY_DESCR_SELEUCID}			Империя Селевкидов теперь -- могущественнейшая сила в мире, которой не страшна больше ни одна внешняя угроза! Благодаря вашим потрясающим качествам истинного командира Селевкиды добились победы, и теперь во всех деревнях и городах будут воздвигнуты статуи в вашу честь! Сами боги с ревностью поглядывают на вас!

{EMT_VICTORY_DESCR_ALEMANNI}			Вы достигли триумфа, и теперь от морских берегов до самых высоких гор правители говорят по-немецки, не по-латыни. Мир теперь устроен так, как вам удобно, и алеманны правят всеми меньшими народами!
{EMT_VICTORY_DESCR_EMPIRE_EAST}		Римская Империя возродилась из праха. От синих морей до высоких гор Господь даровал победу легионам и разогнал варварскую тьму. Римские клинки, римская доблесть и римская добродетель одолели всех противников! 
{EMT_VICTORY_DESCR_EMPIRE_WEST}		Римская империя одержала победу! Мы возродили наследие Цезаря, и легионы снова стоят на страже единого народа. Варвары разгромлены, и новая эра открывается перед вами, властителем нового мира!
{EMT_VICTORY_DESCR_EMPIRE_EAST_REBELS}	'Естественный порядок' был сломан, и вам удалось одержать победу! Новая Римская Империя поднялась из пепла старой - как раз вовремя - и под вашим мудрым руководством идет навстречу новой эре мира и процветания. 
{EMT_VICTORY_DESCR_EMPIRE_WEST_REBELS}	Рим пал, и на его месте поднялся Новый Рим, озаренный блеском боевой славы! Ваш триумф восхваляет вся империя - величие возродилось, и новый род Цезарей правит миром!
{EMT_VICTORY_DESCR_FRANKS}			Вы привели свой народ к блестящей победе! Теперь мир по праву принадлежит франкам, и никакие пропахшие лошадиным навозом кочевники или надушенные римляне теперь не посмеют повысить на вас голос - не говоря уж о том, чтобы поднять на вас меч!
{EMT_VICTORY_DESCR_HUNS}			Меч, добрый конь и бескрайняя степь - что еще нужно настоящему воину? Победа, конечно! И сегодня великий день, день, когда воины гуннов сокрушили своих врагов, втоптали их в пыль копытами лошадей. Сегодня мы выпьем за новых властителей степей и за огромный мир, лежащий у наших ног!
{EMT_VICTORY_DESCR_SARMATIANS}		Меч, добрый конь и сарматское боевое товарищество могут далеко завести человека. Да, они могут привести правителя к такому дню, как этот! Вы одержали триумфальную победу. 
{EMT_VICTORY_DESCR_SASSANIDS}			Со своего законного места на Троне Павлина вы можете восхищаться собственными достижениями, и смотреть на расстилающуюся перед вами империю. Ваши соперники уничтожены, ваши подданные низко склонились перед вами. Это победа!
{EMT_VICTORY_DESCR_SAXONS}			Вы добились полного триумфа! Земли саксов простираются по всему миру и за океанами. Теперь барды будут плести свои словесные ожерелья, чтобы воспеть и восславить вашу великую победу!
{EMT_VICTORY_DESCR_VANDALS}			Поздравляем! Вы привели яростных, неукротимых вандалов к полной победе. Теперь завоеванные вами народы должны склониться перед вами -- и ждать вашей милости!
{EMT_VICTORY_DESCR_GOTHS}			Восхитительно! Вы привели готов к полной и окончательной победе над всеми малыми народами, включая могучих некогда римлян и суровых всадников восточных степей. Это момент славы, момент триумфа!
{EMT_VICTORY_DESCR_WHITE_HUNS}		Меч, добрый конь и бескрайняя степь - что еще нужно настоящему воину? Победа, конечно! И сегодня великий день, день, когда воины белых гуннов сокрушили своих врагов, втоптали их в пыль копытами лошадей. Сегодня мы выпьем за новых властителей степей и за огромный мир, лежащий у наших ног. 
{EMT_VICTORY_DESCR_OSTROGOTHS}		Восхитительно! Вы привели остготов к полной и окончательной победе над всеми меньшими народами, включая даже близких вам готов с запада! Какой еще вождь смог бы добиться такого? Это момент славы, момент триумфа!
{EMT_VICTORY_DESCR_ROMANO_BRITISH}		Великая победа! Возможно, уход Римской Империи из Британии был печальной страницей в истории, но часто неудачи закладывают фундамент будущего величия! Рим возрожден благодаря вашим усилиям - это ваша победа!
{EMT_VICTORY_DESCR_SLAVS}			Вы победили! Славяне завоевали весь мир, разогнали всех противников, и все это под вашим мудрым руководством. Пройдет много столетий, прежде чем что-нибудь снова будет угрожать родине славян!
{EMT_VICTORY_DESCR_SLAVE}			Восстание было не напрасно! Удачливый мятежник уже не мятежник - нет, он новый повелитель всего, что видит. Теперь историю будете писать вы: старый порядок будет показан в соответствующем свете, а ваш триумф превознесен до небес!
{EMT_VICTORY_DESCR_BERBERS}			Великая победа! Ваш народ прошел от песков пустыни до холодных, густых лесов, и все в страхе разбегались перед ним! Никто больше не осмелится поставить под сомнение мощь армий берберов!
{EMT_VICTORY_DESCR_MOORS}			Великая победа! Ваш народ прошел от песков пустыни до холодных, густых лесов, и все в страхе разбегались перед ним! Никто больше не осмелится поставить под сомнение мощь армий мавров!
{EMT_VICTORY_DESCR_CELTS}			Вы победили! Под вашим мудрым руководством кельты освободили свои исконные земли из многовекового рабства, и теперь даже жестокие римляне преклоняют колени перед кельтскими правителями!

{EMT_DEFEATED_BY_ROMANS_BRUTII}		Победа была уже у вас в руках, но в последний момент ее вырвали у вас Бруты, жестокие римляне, которые сжали мир в своем железном кулаке. В результате мир стал ужасным, мрачным местом!
{EMT_DEFEATED_BY_ROMANS_JULII}			Победа ускользнула от вас, и теперь вы не сможете править миром. Дом Юлиев, лучшие друзья римской черни, заправляют теперь всем. Римская империя сохранится на века!
{EMT_DEFEATED_BY_ROMANS_SCIPII}		На сей раз боги не улыбнулись вам, и победа ускользнула от вас. Более того, любимцами богов оказались римляне Сципионы - а ведь они всегда этим бахвалились! - и теперь именно они решают судьбы мира!
{EMT_DEFEATED_BY_BRITONS}			Выкрашенные синькой британцы и их друиды с окровавленными руками вырвали у вас победу. На этот раз вам досталась лишь горечь поражения, а не сладкое вино успеха!
{EMT_DEFEATED_BY_CARTHAGE}			Поражение -- вот все, на что вы смогли претендовать! Сегодня победу празднуют карфагеняне и их подлые наемники! Теперь они распространят по всему миру свой гнусный обычай убивать младенцев, и все узнают, что такое настоящий страх. 
{EMT_DEFEATED_BY_EGYPT}			Фараон и его лизоблюды вырвали у вас победу. Какой же мрачный сегодня день: теперь миром будут править эти некрофилы, поклоняющиеся смерти!
{EMT_DEFEATED_BY_GAULS}			Больше вы не сможете мечтать о победе. Ее вырвали у вас отвратительные усатые галлы в штанах! Куда катится мир, если позволяет немытым выскочкам править собой!
{EMT_DEFEATED_BY_GERMANS}			Поражение - вот ваша награда! Боги повернулись к вам спиной. Германцы - да кто они вообще такие, просто дикари из темного леса! - одержали победу над всеми своими врагами! Будь проклят этот день!
{EMT_DEFEATED_BY_GREEK_CITIES}			Это же надо, чтобы из всех народов победа досталась грекам! Будь проклят этот день: теперь миром будут править надушенные хлыщи, считающие себя светочами культуры. Но с другой стороны, кто сказал, что поражение окончательно?..
{EMT_DEFEATED_BY_PARTHIA}			Жестокие, коварные парфяне вырвали победу из ваших рук. Какой печальный день - на вашей земле празднуют победу эти грязные любители лошадей с немытого Востока!
{EMT_DEFEATED_BY_SELEUCID}			Империя Селевкидов добилась триумфа, победа досталась им. Вашим честолюбивым планам не суждено было сбыться, но неужели все свободные люди мира склонятся под пятой жестоких Селевкидов?

{EMT_DEFEATED_BY_ALEMANNI}			Вас одолели алеманны, хитроумный народ, оказавшийся достойным противником. Станут ли они столь же достойными правителями для своих новых подданных?
{EMT_DEFEATED_BY_EMPIRE_EAST}			Вас одолели войска Восточной Империи. Они называют себя римлянами, но на самом деле они просто изнеженные греки... И эти людишки победили вас?!
{EMT_DEFEATED_BY_EMPIRE_WEST}			Победа ускользнула от вас. Слишком велика доблесть римлян, а кажущаяся слабость Рима была, без сомнения, лишь уловкой, чтобы заставить вас расслабиться перед тем, как они нанесут вам решающий удар!
{EMT_DEFEATED_BY_EMPIRE_EAST_REBELS}		Победил Рим, но не Рим Цезаря и Траяна. Вас побили грязные римские мятежники! Это новый Рим - восточный, Рим, которым правят греки, если не кое-кто похуже!
{EMT_DEFEATED_BY_EMPIRE_WEST_REBELS}		Старые порядки низвергнуты, сборище римских мятежников и бандитов одолело вас. Этот новый Рим объявил себя повелителем мира, но его настоящие повелители лежат в могилах!
{EMT_DEFEATED_BY_FRANKS}			Франки победили вас. Никто не осмелится поднять восстание против этих машущих топорами варваров, даже всадники степей или могучие некогда римляне!
{EMT_DEFEATED_BY_HUNS}				Дикость и жестокость -- ужасные хозяева, но по сравнению с гуннами они покажутся любящими родителями! Вас победили эти отвратительные полулюди из далеких, бескрайних степей. Все потеряно! Весь мир поглотила тьма!
{EMT_DEFEATED_BY_SARMATIANS}			Вас сокрушили могучие конники-сарматы. Да, они достойные противники. Но выйдут ли из них великодушные завоеватели? 
{EMT_DEFEATED_BY_SASSANIDS}			Вас сокрушила великая Персидская империя. В своих огромных дворцах на востоке Сасаниды имеют полное право гордиться своими достижениями, а ваш народ дрожит от страха перед своими новыми господами...
{EMT_DEFEATED_BY_SAXONS}			Жестокие саксы совладали с вами. Их барды будут петь бесконечные песни, восхваляя их победу -- более страшного наказания не заслуживают несчастные, которым придется жить под их железной пятой!
{EMT_DEFEATED_BY_VANDALS}			Вас разбили жестокие вандалы, народ столь варварский, что само его имя стало синонимом бессмысленного разрушения! Ужасно будет будущее вашего народа при таких жестоких хозяевах!
{EMT_DEFEATED_BY_GOTHS}			Вас поставили на колени хитрые и злобные готы, народ, и в мирное, и в военное время живущий по жестоким и непонятным обычаям. Ваш народ стонет при одной мысли о таких страшных хозяевах...
{EMT_DEFEATED_BY_WHITE_HUNS}			Немало дикости и жестокости придется испытать тем, кто будет жить под ударами плети белых гуннов! Они завоевали вас, и теперь все потеряно! Все покрыто тьмой! И лишь стенания женщин ознаменуют ваш уход...
{EMT_DEFEATED_BY_OSTROGOTHS}			Вас поставили на колени хитрые остготы, народ, оказавшийся ужасным противником. Ваши люди плачут при мысли о том, что после поражения им придется ждать милости от этих злобных властителей...
{EMT_DEFEATED_BY_ROMANO_BRITISH}		Вас одолели романо-британцы, жители Британии, которые, с обычной для жителей этого острова хитростью, отказались смириться с отступлением Рима с их земель. Теперь у них появился шанс построить новый Рим на своих землях!
{EMT_DEFEATED_BY_SLAVS}			Вас победили жестокие славяне. Теперь ваши земли принадлежат им, ваш народ обрабатывает поля славян, а ваши дети вырастут рабами жестоких славянских хозяев!
{EMT_DEFEATED_BY_SLAVE}			Естественный порядок мироустройства перевернут с ног на голову! Вас одолели мятежники, рабы и прочий сброд, которые теперь называют себя господами!
{EMT_DEFEATED_BY_BERBERS}			Вас победили берберы! Ваш народ будет называть господами грязных погонщиков верблюдов, ворующих коз, и низко кланяться им. Унылый день, полный отчаяния и унижения! 
{EMT_DEFEATED_BY_MOORS}			Вас победили мавры! Ваш народ будет называть господами грязных погонщиков верблюдов, ворующих коз, и низко кланяться им. Унылый день, полный отчаяния и унижения!
{EMT_DEFEATED_BY_CELTS}			Вас одолели кельты, древний народ, считающий, что мир должен принадлежать ему. Некогда кельты правили Европой, теперь они снова у власти, и годы величия Рима кажутся лишь сном...

{EMT_SHORT_VICTORY_ROMANS_BRUTII}		Знаменитые предки Брутов гордятся вашей победой. Грязные македоняне и надушенные греки ушли, оставив за собой лишь руины! Поздравляем вас с этим триумфом римского духа!
{EMT_SHORT_VICTORY_ROMANS_JULII}		Ваша победа достойна истинного римлянина. Дом Юлиев может радоваться, глядя на волосатых галльских варваров - в изгнании, в цепях, в отчаянии! Это триумф, радуйтесь же ему!
{EMT_SHORT_VICTORY_ROMANS_SCIPII}		Вы одержали достойнейшую и благороднейшую победу! Ваши вероломные враги в Африке - Карфаген и Нумидия - удостоятся лишь сносок в исторических книгах, в которых будет описываться ваш триумф!
{EMT_SHORT_VICTORY_BRITONS}			Ваша победа достойна скромного праздника, на котором вы будете пить, пить и еще раз пить! Грязных, провонявших луком галлов больше нет, ваши земли защищают храбрые воины! Отмечайте свой триумф!
{EMT_SHORT_VICTORY_CARTHAGE}			Это сладчайшая и достойнейшая из побед! Злобные и лживые Сципионы покоятся в могилах - и нельзя сказать, что они ушли преждевременно - и испанские варвары тоже больше не будут тревожить вас. Это триумф, который стоит отметить!
{EMT_SHORT_VICTORY_EGYPT}			Любой фараон был бы счастлив отпраздновать такую победу. Селевкидам пришел конец, а земли Египта обширны и обильны. Сегодня день радости: день победы под вашим руководством!
{EMT_SHORT_VICTORY_GAULS}			Дом Юлиев и их лживые союзники в Римском Сенате повержены. Галльские воины правят миром, и это стало возможным только благодаря вашему руководству. Празднуйте свой успех!
{EMT_SHORT_VICTORY_GERMANS}			Благодаря вашему чуткому руководству победа пришла к германцам! Жестокие даки и безумные конники из Скифии мертвы или проданы в рабство, германским воинам подчиняются многочисленные земли!
{EMT_SHORT_VICTORY_GREEK_CITIES}		Боги улыбаются вам и даруют вам победу! Македоняне и фракийцы повержены в прах, и все истинные греки празднуют ваш триумф!
{EMT_SHORT_VICTORY_PARTHIA}			Победа! Благодаря вашей решительности парфянская конница правит огромной территорией. Более того, злобные Селевкиды и армяне изгнаны со своих земель и проданы в рабство!
{EMT_SHORT_VICTORY_SELEUCID}			Сегодня благодаря вашему чуткому руководству империя Селевкидов может праздновать победу! Что еще лучше, извращенцы-египтяне, поклоняющиеся смерти, отправились к своим предкам - пусть порадуются!


{CHRISTIAN_LABEL}			Христианство
{CHRISTIAN_ORDER}			Христианство улучшает общественный порядок в данном поселении
{CHRISTIAN_UNREST}			Христианство вызывает беспорядки в данном поселении
{ZOROASTRIAN_LABEL}			Зороастризм
{ZOROASTRIAN_ORDER}			Зороастризм улучшает общественный порядок в данном поселении
{ZOROASTRIAN_UNREST}			Зороастризм вызывает беспорядки в данном поселении
{PAGAN_LABEL}				Язычество
{PAGAN_ORDER}				Язычество улучшает общественный порядок в данном поселении
{PAGAN_UNREST}				Язычество вызывает беспорядки в данном поселении

¬ Faction Descriptions - Label should be the faction's labes in caps appended with _DESCR

{ROMANS_JULII_DESCR}			Римский дом Юлиев\nЛегионерская пехота и вспомогательные союзные войска, ограниченное количество кавалерии
{ROMANS_BRUTII_DESCR}			Римский дом Брутов\nЛегионерская пехота и вспомогательные союзные войска, ограниченное количество кавалерии
{ROMANS_SCIPII_DESCR}			Римский дом Сципионов\nЛегионерская пехота и вспомогательные союзные войска, ограниченное количество кавалерии
{ROMANS_SENATE_DESCR}			Сенат и граждане Рима\nЛегионерская пехота и вспомогательные союзные войска, ограниченное количество кавалерии
{MACEDON_DESCR}			Македоняне\nФаланги гоплитов и сариссофоров плюс мощная кавалерия
{EGYPT_DESCR}				Египтяне\nХорошие копьеносцы и пешие стрелки, а также быстрая кавалерия и колесницы
{SELEUCID_DESCR}			Селевкиды\nМощные фаланги, тяжелые конники-катафрактарии и слоны
{CARTHAGE_DESCR}			Карфагеняне\nГибкий выбор всех типов войск, плюс мощные слоны!
{PARTHIA_DESCR}			Парфяне\nКавалерия, включающая конных стрелков и хорошо защищенных катафрактариев; слабая пехота
{PONTUS_DESCR}				Понтийцы\nГибкая армия, состоящая из легкой пехоты, фаланг, тяжелой кавалерии и колесниц
{GAULS_DESCR}				Галлы\nСильная пехота для ближнего боя, но очень ограниченное количество кавалерии
{GERMANS_DESCR}			Германды\nВоины с секирами и особые виды пехоты с небольшим количеством кавалерии
{BRITONS_DESCR}			Британцы\nФанатичная варварская пехота и быстрые колесницы
{ARMENIA_DESCR}			Армяне\nКонные стрелки, включающие бронированных катафрактариев, но мало типов пехоты
{DACIA_DESCR}				Даки\nВарварская пехота ближнего боя, включающая фалксменов и небольшое количество кавалерии
{GREEK_CITIES_DESCR}			Греки\nМного фаланг гоплитов (включая спартанцев) и поддержка стрелков, но ограниченное количество кавалерии
{NUMIDIA_DESCR}			Нумидийцы\nЛегкая пехота, способная сражаться в пустыне и неплохой выбор кавалеристов, включая наездников на верблюдах
{SCYTHIA_DESCR}			Скифы\nОтличные наездники и стрелки, но почти нет пехотинцев
{SPAIN_DESCR}				Испанцы\nОтличная смесь фанатичных варваров и организованной пехоты с незначительной поддержкой кавалерии
{THRACE_DESCR}				Фракийцы\nМножество фаланг гоплитов и варварских специалистов по ближнему бою, но ограниченное количество кавалерии
{SLAVE_DESCR}				Рабы и повстанцы\nГладиаторы и дешевые (но слабые) крестьяне

{ALEMANNI_DESCR}			Алеманны\nХороший выбор варварских отрядов, героические воины!
{EMPIRE_EAST_DESCR}			Восточная Римская Империя\nСильная и разносторонняя армия, мало слабых соединений
{EMPIRE_WEST_DESCR}			Западная Римская Империя\nПрекрасная пехота, мало кавалерии
{EMPIRE_EAST_REBELS_DESCR}		Мятежники Восточной Римской империи\nСильная и разносторонняя армия, мало слабых соединений
{EMPIRE_WEST_REBELS_DESCR}		Мятежники Западной Римской империи\nПрекрасная пехота, мало кавалерии
{FRANKS_DESCR}				Германское племя франков\nНадежная пехота, неплохие стрелки, но маловато кавалерии
{HUNS_DESCR}				Гунны\nПрактически непревзойденные стрелки и наездники, слабая вспомогательная пехота
{SARMATIANS_DESCR}			Сарматы\nПрекрасная кавалерия и конные стрелки, неплохая вспомогательная пехота
{SASSANIDS_DESCR}			Империя Сасанидов\nСильная и разносторонняя армия, в том числе катафракты и слоны
{SAXONS_DESCR}				Саксы\nВосхитительная пехота, очень ограниченный выбор кавалерии
{VANDALS_DESCR}			Вандалы\nСильная и разносторонняя армия, мало осадного снаряжения
{GOTHS_DESCR}				Готы\nХорошая кавалерия и пехота, мало осадного снаряжения
{CELTS_DESCR}				Кельты\nСтаромодная, но эффективная структура легковооруженных войск
{WHITE_HUNS_DESCR}			Белые гунны\nПрактически непревзойденные стрелки и наездники, слабая вспомогательная пехота
{OSTROGOTHS_DESCR}			Остготы\nХорошая кавалерия и пехота, мало осадного снаряжения
{ROMANO_BRITISH_DESCR}		Романо-британцы\nНебольшой выбор римских войск, плюс собственные элитные соединения
{SLAVS_DESCR}				Славяне\nХорошая, сбалансированная армия. Мало осадного снаряжения
{MOORS_DESCR}				Мавры\nОграниченный выбор крепких воинов пустыни
{BERBERS_DESCR}			Берберы\nОграниченный выбор крепких воинов пустыни

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{LOMBARDI}					Ломбарды
{BURGUNDII}					Бургунды
{ROXOLANI}					Роксоланы

{EMT_LOMBARDI_SPY}					Ломбардский шпион
{EMT_LOMBARDI_ASSASSIN}					Ломбардский наемный убийца
{EMT_LOMBARDI_DIPLOMAT}					Ломбардский дипломат
{EMT_LOMBARDI_ADMIRAL}					Ломбардский флот
{EMT_LOMBARDI_GENERAL}					Ломбардская армия
{EMT_LOMBARDI_NAMED_CHARACTER}					Ломбардский член семьи
{EMT_BURGUNDII_SPY}					Бургундский шпион
{EMT_BURGUNDII_ASSASSIN}					Бургундский наемный убийца
{EMT_BURGUNDII_DIPLOMAT}					Бургундский дипломат
{EMT_BURGUNDII_ADMIRAL}					Бургундский флот
{EMT_BURGUNDII_GENERAL}					Бургундская армия
{EMT_BURGUNDII_NAMED_CHARACTER}					Бургундский член семьи
{EMT_ROXOLANI_SPY}					Роксоланский шпион
{EMT_ROXOLANI_ASSASSIN}					Роксоланский наемный убийца
{EMT_ROXOLANI_DIPLOMAT}					Роксоланский дипломат
{EMT_ROXOLANI_ADMIRAL}					Роксоланский флот
{EMT_ROXOLANI_GENERAL}					Роксоланская армия
{EMT_ROXOLANI_NAMED_CHARACTER}					Роксоланский член семьи

{LOMBARDI_DESCR}			Ломбарды\nХороший выбор варварских отрядов, героические воины!
{BURGUNDII_DESCR}			Бургунды\nХороший выбор варварских отрядов, героические воины!
{ROXOLANI_DESCR}			Роксоланы\nПрекрасная кавалерия и конные стрелки, неплохая вспомогательная пехота.

{EMT_VICTORY_DESCR_LOMBARDI}			Вы достигли триумфа, и теперь от морских берегов до самых высоких гор правители говорят по-немецки, не по-латыни. Мир теперь устроен так, как вам удобно, и ломбарды правят всеми меньшими народами!
{EMT_VICTORY_DESCR_BURGUNDII}			Вы достигли триумфа, и теперь от морских берегов до самых высоких гор правители говорят по-немецки, не по-латыни. Мир теперь устроен так, как вам удобно, и бургунды правят всеми меньшими народами!
{EMT_VICTORY_DESCR_ROXOLANI}		Меч, добрый конь и роксоланское воинское братство могут далеко завести человека. Да, они могут привести правителя к такому дню, как этот! Вы одержали триумфальную победу. 

{EMT_DEFEATED_BY_LOMBARDI}			Вас одолели ломбарды, хитрый народ, оказавшийся достойным противником. Станут ли они столь же достойными правителями для своих новых подданных?
{EMT_DEFEATED_BY_BURGUNDII}			Вас одолели бургунды, хитрый народ, оказавшийся достойным противником. Станут ли они столь же достойными правителями для своих новых подданных?
{EMT_DEFEATED_BY_ROXOLANI}			Вас сокрушили могучие конники-роксоланы. Да, они достойные противники. Но выйдут ли из них великодушные завоеватели? 

{EMT_YOUR_FORCES_AMBUSHED_ARMY_LOMBARDI}				Ваши войска попали в засаду армии ломбардов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BURGUNDII}				Ваши войска попали в засаду армии бургундов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROXOLANI}				Ваши войска попали в засаду армии роксоланов

{EMT_YOUR_FORCES_ATTACKED_NAVY_LOMBARDI}				Ваши войска были атакованы флотом ломбардов
{EMT_YOUR_FORCES_ATTACKED_NAVY_BURGUNDII}				Ваши войска были атакованы флотом бургундов
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROXOLANI}				Ваши войска были атакованы флотом роксоланов

{EMT_YOUR_FORCES_AMBUSH_ARMY_LOMBARDI}				Ваши войска устроили засаду армии ломбардов
{EMT_YOUR_FORCES_AMBUSH_ARMY_BURGUNDII}				Ваши войска устроили засаду армии бургундов
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROXOLANI}			Ваши войска устроили засаду армии роксоланов

{EMT_YOUR_FORCES_ATTACKED_ARMY_LOMBARDI}				Ваши войска были атакованы армией ломбардов
{EMT_YOUR_FORCES_ATTACKED_ARMY_BURGUNDII}				Ваши войска были атакованы армией бургундов
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROXOLANI}				Ваши войска были атакованы армией роксоланов

{EMT_YOUR_FORCES_ATTACK_ARMY_LOMBARDI}						Ваши войска атаковали армию ломбардов
{EMT_YOUR_FORCES_ATTACK_ARMY_BURGUNDII}						Ваши войска атаковали армию бургундов
{EMT_YOUR_FORCES_ATTACK_ARMY_ROXOLANI}						Ваши войска атаковали армию роксоланов

{EMT_YOUR_FORCES_ATTACK_NAVY_LOMBARDI}				Ваши войска атаковали флот ломбардов
{EMT_YOUR_FORCES_ATTACK_NAVY_BURGUNDII}				Ваши войска атаковали флот бургундов
{EMT_YOUR_FORCES_ATTACK_NAVY_ROXOLANI}			Ваши войска атаковали флот роксоланов

{EMT_LOMBARDI_FACTION_HEIR}			Преемник фракции ломбардов
{EMT_BURGUNDII_FACTION_HEIR}			Преемник фракции бургундов
{EMT_ROXOLANI_FACTION_HEIR}			Преемник фракции роксоланов

{EMT_LOMBARDI_FACTION_LEADER}		Правитель фракции ломбардов
{EMT_BURGUNDII_FACTION_LEADER}		Правитель фракции бургундов
{EMT_ROXOLANI_FACTION_LEADER}		Правитель фракции роксоланов

{EMT_LOMBARDI_WATCHTOWER}				Ломбардская сторожевая башня
{EMT_BURGUNDII_WATCHTOWER}				Бургундская сторожевая башня
{EMT_ROXOLANI_WATCHTOWER}				Роксоланская сторожевая башня

{EMT_LOMBARDI_FISHING_VILLAGE}			Ломбардская рыбачья деревня
{EMT_BURGUNDII_FISHING_VILLAGE}			Бургундская рыбачья деревня
{EMT_ROXOLANI_FISHING_VILLAGE}			Роксоланская рыбачья деревня

{EMT_LOMBARDI_DOCK}			Ломбардские верфи
{EMT_BURGUNDII_DOCK}			Бургундские верфи
{EMT_ROXOLANI_DOCK}			Роксоланские верфи

{EMT_LOMBARDI_PORT}			Ломбардский порт
{EMT_BURGUNDII_PORT}			Бургундский порт
{EMT_ROXOLANI_PORT}			Роксоланский порт

{EMT_LOMBARDI_FORT}			Ломбардский форт
{EMT_BURGUNDII_FORT}			Бургундский форт
{EMT_ROXOLANI_FORT}			Роксоланский форт

{EMT_LOMBARDI_CAPITAL}				Ломбардская столица
{EMT_BURGUNDII_CAPITAL}				Бургундская столица
{EMT_ROXOLANI_CAPITAL}				Роксоланская столица

{EMT_LOMBARDI_VILLAGE}			Ломбардская деревня
{EMT_LOMBARDI_TOWN}			Ломбардское городище
{EMT_LOMBARDI_LARGE_TOWN}		Ломбардское крупное городище
{EMT_LOMBARDI_CITY}			Ломбардский город
{EMT_LOMBARDI_LARGE_CITY}		Ломбардский большой город
{EMT_LOMBARDI_HUGE_CITY}		Ломбардский великий город
{EMT_BURGUNDII_VILLAGE}			Бургундская деревня
{EMT_BURGUNDII_TOWN}			Бургундское городище
{EMT_BURGUNDII_LARGE_TOWN}		Бургундское крупное городище
{EMT_BURGUNDII_CITY}			Бургундский город
{EMT_BURGUNDII_LARGE_CITY}		Бургундский большой город
{EMT_BURGUNDII_HUGE_CITY}		Бургундский великий город
{EMT_ROXOLANI_VILLAGE}			Роксоланская деревня
{EMT_ROXOLANI_TOWN}			Роксоланское городище
{EMT_ROXOLANI_LARGE_TOWN}		Роксоланское крупное городище
{EMT_ROXOLANI_CITY}			Роксоланский город
{EMT_ROXOLANI_LARGE_CITY}		Роксоланский большой город
{EMT_ROXOLANI_HUGE_CITY}		Роксоланский великий город

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			Only changes made after 06/06/2005 17:00:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

